# This file was produced by bcftools stats (1.20+htslib-1.20) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  out/gvcf/NA18966.final_1.fastq.gvcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	out/gvcf/NA18966.final_1.fastq.gvcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	4432719
SN	0	number of no-ALTs:	4411798
SN	0	number of SNPs:	20285
SN	0	number of MNPs:	0
SN	0	number of indels:	662
SN	0	number of others:	0
SN	0	number of multiallelic sites:	20921
SN	0	number of multiallelic SNP sites:	20217
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	14718	5606	2.63	14676	5558	2.64
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	20324	14718	5606	692	0	0	692
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	20324	14718	5606	692	0	0	692
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	0.0	479	128	351	78
QUAL	0	0.1	8	6	2	0
QUAL	0	0.2	7	4	3	0
QUAL	0	0.3	0	0	0	4
QUAL	0	0.4	9	4	5	0
QUAL	0	0.7	9	4	5	0
QUAL	0	1.1	0	0	0	1
QUAL	0	1.2	6	2	4	0
QUAL	0	1.8	10	7	3	0
QUAL	0	2.7	10	5	5	0
QUAL	0	3.7	11	4	7	0
QUAL	0	4.6	8	3	5	0
QUAL	0	5.6	13	8	5	0
QUAL	0	6.6	7	4	3	0
QUAL	0	7.6	13	5	8	0
QUAL	0	8.5	0	0	0	2
QUAL	0	8.6	10	8	2	0
QUAL	0	9.6	12	10	2	0
QUAL	0	10.6	9	5	4	0
QUAL	0	11.6	16	10	6	0
QUAL	0	12.5	0	0	0	1
QUAL	0	12.6	14	3	11	0
QUAL	0	13.6	12	6	6	0
QUAL	0	14.6	10	5	5	0
QUAL	0	15.4	1	1	0	0
QUAL	0	15.5	0	0	0	1
QUAL	0	15.6	10	1	9	0
QUAL	0	16.6	9	3	6	0
QUAL	0	17.6	15	10	5	0
QUAL	0	18.6	9	5	4	2
QUAL	0	19.6	6	1	5	2
QUAL	0	20.6	26	18	8	0
QUAL	0	21.6	4	2	2	1
QUAL	0	22.3	3	1	2	0
QUAL	0	22.6	10	6	4	3
QUAL	0	23.6	33	21	12	0
QUAL	0	24.4	2	0	2	0
QUAL	0	24.6	6	6	0	0
QUAL	0	25.6	15	6	9	0
QUAL	0	25.8	1	0	1	0
QUAL	0	26.6	38	24	14	0
QUAL	0	27.4	4	4	0	0
QUAL	0	27.6	6	5	1	0
QUAL	0	28.4	2	1	1	0
QUAL	0	28.6	16	11	5	0
QUAL	0	29.4	7	6	1	1
QUAL	0	29.6	47	36	11	0
QUAL	0	30.6	6	3	3	0
QUAL	0	31.6	13	6	7	1
QUAL	0	32.6	66	48	18	0
QUAL	0	33.6	11	4	7	0
QUAL	0	34.6	13	10	3	0
QUAL	0	35.3	4	4	0	0
QUAL	0	35.4	5	4	1	0
QUAL	0	35.6	5	4	1	0
QUAL	0	36.3	4	4	0	0
