#Coverage	Number of genomic locations
0.0	3.209159728E9
1.0	1.0530426E7
2.0	9312004.0
3.0	7895326.0
4.0	6779890.0
5.0	5747347.0
6.0	4871563.0
7.0	4144267.0
8.0	3511301.0
9.0	3000081.0
10.0	2620509.0
11.0	2308084.0
12.0	2059121.0
13.0	1859096.0
14.0	1682881.0
15.0	1553425.0
16.0	1431599.0
17.0	1343758.0
18.0	1255409.0
19.0	1170738.0
20.0	1095044.0
21.0	1020836.0
22.0	955350.0
23.0	897536.0
24.0	838946.0
25.0	785934.0
26.0	741634.0
27.0	698712.0
28.0	659213.0
29.0	623014.0
30.0	592172.0
31.0	565798.0
32.0	536554.0
33.0	515527.0
34.0	492492.0
35.0	471847.0
36.0	447098.0
37.0	421677.0
38.0	397448.0
39.0	375096.0
40.0	351364.0
41.0	328058.0
42.0	305958.0
43.0	279905.0
44.0	255628.0
45.0	231960.0
46.0	209023.0
47.0	187647.0
48.0	168224.0
49.0	151368.0
50.0	136464.0
51.0	120849.0
52.0	105816.0
53.0	93184.0
54.0	81676.0
55.0	72032.0
56.0	62800.0
57.0	55049.0
58.0	47685.0
59.0	40907.0
60.0	35083.0
61.0	29622.0
62.0	24616.0
63.0	20556.0
64.0	17463.0
65.0	15151.0
66.0	12874.0
67.0	10638.0
68.0	9413.0
69.0	7910.0
70.0	6693.0
71.0	5557.0
72.0	4926.0
73.0	4097.0
74.0	3546.0
75.0	3201.0
76.0	2747.0
77.0	2401.0
78.0	2063.0
79.0	1992.0
80.0	1605.0
81.0	1386.0
82.0	1276.0
83.0	1288.0
84.0	1059.0
85.0	978.0
86.0	1029.0
87.0	1070.0
88.0	983.0
89.0	872.0
90.0	805.0
91.0	808.0
92.0	791.0
93.0	717.0
94.0	614.0
95.0	585.0
96.0	580.0
97.0	564.0
98.0	576.0
99.0	548.0
100.0	574.0
101.0	520.0
102.0	464.0
103.0	373.0
104.0	393.0
105.0	391.0
106.0	433.0
107.0	442.0
108.0	430.0
109.0	404.0
110.0	435.0
111.0	389.0
112.0	346.0
113.0	329.0
114.0	344.0
115.0	330.0
116.0	313.0
117.0	354.0
118.0	307.0
119.0	211.0
120.0	257.0
121.0	224.0
122.0	223.0
123.0	164.0
124.0	162.0
