#Coverage (X)	Coverage
1.0	2.720664640741802
2.0	2.401455586299292
3.0	2.119180586996805
4.0	1.8798493816898798
5.0	1.6743304144492157
6.0	1.5001109477891816
7.0	1.3524391424047622
8.0	1.226813878011157
9.0	1.1203757270690176
10.0	1.029434200177235
11.0	0.9499986483725849
12.0	0.8800336430428928
13.0	0.8176154590688753
14.0	0.7612606376895883
15.0	0.7102474258072533
16.0	0.6631584167398756
17.0	0.6197623221155197
18.0	0.5790289538187778
19.0	0.5409737108657708
20.0	0.5054851019548039
21.0	0.4722910070708082
22.0	0.44134638106034174
23.0	0.4123868337294283
24.0	0.38517980355912584
25.0	0.359748813455937
26.0	0.33592477737285265
27.0	0.31344360824613204
28.0	0.2922635347289173
29.0	0.2722807953405777
30.0	0.2533953571024199
31.0	0.2354448331457064
32.0	0.21829378487990425
33.0	0.20202921068344892
34.0	0.1864020284393888
35.0	0.17147310669960802
36.0	0.157169997337121
37.0	0.1436171050017947
38.0	0.13083480004564763
39.0	0.11878694934425482
40.0	0.10741665535185518
41.0	0.09676575004137078
42.0	0.0868213200646295
43.0	0.0775468079148709
44.0	0.06906204097536772
45.0	0.061313183315760966
46.0	0.05428177430452763
47.0	0.04794565512123938
48.0	0.04225750713568743
49.0	0.037158129012283325
50.0	0.03256970721882624
51.0	0.028433070732759802
