#Insert size (bp)	insert size
3.0	3.0
4.0	2.0
5.0	2.0
6.0	6.0
7.0	1.0
9.0	2.0
10.0	3.0
12.0	3.0
13.0	3.0
16.0	1.0
17.0	2.0
18.0	3.0
19.0	10.0
20.0	4.0
21.0	1.0
22.0	8.0
23.0	6.0
24.0	1.0
25.0	3.0
26.0	4.0
27.0	7.0
28.0	5.0
29.0	5.0
30.0	3.0
31.0	6.0
32.0	7.0
33.0	7.0
34.0	12.0
35.0	8.0
36.0	5.0
37.0	4.0
38.0	10.0
39.0	11.0
40.0	12.0
41.0	22.0
42.0	13.0
43.0	19.0
44.0	18.0
45.0	29.0
46.0	18.0
47.0	22.0
48.0	21.0
49.0	27.0
50.0	24.0
51.0	29.0
52.0	19.0
53.0	19.0
54.0	36.0
55.0	25.0
56.0	26.0
57.0	23.0
58.0	35.0
59.0	26.0
60.0	22.0
61.0	16.0
62.0	32.0
63.0	32.0
64.0	25.0
65.0	30.0
66.0	40.0
67.0	42.0
68.0	36.0
69.0	32.0
70.0	23.0
71.0	34.0
72.0	34.0
73.0	27.0
74.0	38.0
75.0	44.0
76.0	38.0
77.0	31.0
78.0	45.0
79.0	34.0
80.0	30.0
81.0	45.0
82.0	41.0
83.0	38.0
84.0	30.0
85.0	48.0
86.0	43.0
87.0	38.0
88.0	33.0
89.0	50.0
90.0	39.0
91.0	56.0
92.0	39.0
93.0	49.0
94.0	35.0
95.0	53.0
96.0	45.0
97.0	39.0
98.0	55.0
99.0	46.0
100.0	66.0
101.0	51.0
102.0	47.0
103.0	63.0
104.0	52.0
105.0	47.0
106.0	65.0
107.0	69.0
108.0	60.0
109.0	68.0
110.0	71.0
111.0	65.0
112.0	71.0
113.0	89.0
114.0	75.0
115.0	84.0
116.0	92.0
117.0	84.0
118.0	84.0
119.0	86.0
120.0	71.0
121.0	90.0
122.0	102.0
123.0	98.0
124.0	114.0
125.0	109.0
126.0	96.0
127.0	113.0
128.0	92.0
129.0	112.0
130.0	125.0
131.0	123.0
132.0	157.0
133.0	124.0
134.0	153.0
135.0	152.0
136.0	153.0
137.0	158.0
138.0	173.0
139.0	154.0
140.0	209.0
141.0	178.0
142.0	190.0
143.0	212.0
144.0	191.0
145.0	220.0
146.0	219.0
147.0	243.0
148.0	248.0
149.0	233.0
150.0	246.0
151.0	289.0
152.0	262.0
153.0	293.0
154.0	286.0
155.0	271.0
156.0	272.0
157.0	297.0
158.0	316.0
159.0	335.0
160.0	351.0
161.0	343.0
162.0	357.0
163.0	358.0
164.0	376.0
165.0	371.0
166.0	362.0
167.0	368.0
168.0	404.0
169.0	408.0
170.0	434.0
171.0	431.0
172.0	460.0
173.0	504.0
174.0	481.0
175.0	515.0
176.0	556.0
177.0	555.0
178.0	547.0
179.0	578.0
180.0	614.0
181.0	635.0
182.0	641.0
183.0	615.0
184.0	620.0
185.0	648.0
186.0	695.0
187.0	734.0
188.0	714.0
189.0	776.0
190.0	746.0
191.0	856.0
192.0	865.0
193.0	845.0
194.0	917.0
195.0	917.0
196.0	965.0
197.0	927.0
198.0	991.0
199.0	1004.0
200.0	997.0
201.0	1104.0
202.0	1081.0
203.0	1071.0
204.0	1212.0
205.0	1207.0
206.0	1209.0
207.0	1243.0
208.0	1280.0
209.0	1396.0
210.0	1364.0
211.0	1424.0
212.0	1433.0
213.0	1459.0
214.0	1497.0
215.0	1590.0
216.0	1638.0
217.0	1573.0
218.0	1632.0
219.0	1719.0
220.0	1771.0
221.0	1823.0
222.0	1781.0
223.0	1859.0
224.0	2013.0
225.0	1951.0
226.0	1956.0
227.0	2071.0
228.0	2076.0
229.0	2218.0
230.0	2256.0
231.0	2327.0
232.0	2395.0
233.0	2411.0
234.0	2482.0
235.0	2556.0
236.0	2560.0
237.0	2670.0
