#GC Content (%)	Sample	HUMAN (hg38)
1.0	0.0	0.0
2.0	0.0	1.0E-6
3.0	0.0	4.0E-6
4.0	0.0	8.0E-6
5.0	0.0	9.0E-6
6.0	0.0	1.1000000000000001E-5
7.0	0.0	9.999999999999999E-6
8.0	0.0	8.999999999999999E-6
9.0	0.0	1.5E-5
10.0	0.0	1.4E-5
11.0	0.0	1.9E-5
12.0	0.0	1.8E-5
13.0	1.003501215741723E-6	2.2E-5
14.0	0.0	2.7E-5
15.0	1.003501215741723E-6	2.4E-5
16.0	1.003501215741723E-6	2.9E-5
17.0	7.02450851019206E-6	3.1E-5
18.0	8.028009725933783E-6	2.9E-5
19.0	1.8063021883351013E-5	5.2E-5
20.0	3.9136547413927196E-5	5.2000000000000004E-5
21.0	7.02450851019206E-5	7.9E-5
22.0	1.625671969501591E-4	8.9E-5
23.0	3.542359291568282E-4	1.49E-4
24.0	6.462547829376694E-4	3.14E-4
25.0	0.0012603975269716038	7.250000000000001E-4
26.0	0.0016969205558192537	0.0016470000000000002
27.0	0.0029342375548287976	0.0033309999999999993
28.0	0.004405370337106164	0.0060810000000000005
29.0	0.005977856742173443	0.010195
30.0	0.007837344494942855	0.015575000000000002
31.0	0.009813238388738309	0.021823000000000002
32.0	0.011678747148802172	0.028458
33.0	0.013446916290939087	0.034777999999999996
34.0	0.014995318666828565	0.04072200000000001
35.0	0.016470465453968897	0.046733
36.0	0.01767767741650619	0.052521
37.0	0.019181925738903035	0.058068999999999996
38.0	0.019730840903913756	0.062401
39.0	0.020333945134574524	0.066379
40.0	0.02099826293939555	0.062808
41.0	0.021343467357610703	0.055982000000000004
42.0	0.02117788965701332	0.051072
43.0	0.020779499674363856	0.047385000000000004
44.0	0.0203500011540264	0.043885999999999994
45.0	0.020399172713597747	0.040056
46.0	0.02016033942425121	0.036389
47.0	0.020245637027589265	0.031823000000000004
48.0	0.020247644030020745	0.027807000000000002
49.0	0.020897912817821378	0.024214
50.0	0.020948087878608464	0.020522000000000002
51.0	0.02387730792735855	0.017317
52.0	0.019904446614237074	0.014202
53.0	0.02287882421769554	0.011892
54.0	0.02341569736811736	0.009919
55.0	0.02477845201909462	0.008364
56.0	0.02615926969195523	0.007255999999999999
57.0	0.02731028558641099	0.006077
58.0	0.029423659146763058	0.0052759999999999994
59.0	0.030696098688323563	0.004577
60.0	0.03170160690649677	0.003935
61.0	0.03267701008819772	0.0033960000000000006
62.0	0.03263988054321528	0.002891
63.0	0.03254555142893556	0.002476
64.0	0.031902307149645114	0.0020139999999999997
65.0	0.030158222036686	0.0016830000000000003
66.0	0.027804008184555914	0.0013750000000000001
67.0	0.025423703300816548	0.001061
68.0	0.022152289337498528	8.219999999999999E-4
69.0	0.019083582619760345	6.300000000000001E-4
70.0	0.016067057965240727	5.039999999999999E-4
71.0	0.0134087832447409	4.1E-4
72.0	0.011099726947319196	3.3099999999999997E-4
73.0	0.009076668496383883	2.5900000000000006E-4
74.0	0.007645675762736186	2.26E-4
75.0	0.006318043654309887	1.9000000000000004E-4
76.0	0.005377763015159893	1.53E-4
77.0	0.0044585559015404745	1.18E-4
78.0	0.0037872135882092628	8.5E-5
79.0	0.0031349377979771427	4.800000000000001E-5
80.0	0.0025348440709635914	3.9000000000000006E-5
81.0	0.0018835717819472137	3.3E-5
82.0	0.0014219612227060212	2.1000000000000002E-5
83.0	9.653681695435374E-4	6.999999999999999E-6
84.0	7.335593887071994E-4	4.9999999999999996E-6
85.0	4.726490726143515E-4	0.0
86.0	3.130923793114175E-4	0.0
87.0	1.8263722126499356E-4	0.0
88.0	1.093816325158478E-4	0.0
89.0	7.024508510192059E-5	0.0
90.0	4.5157554708377533E-5	0.0
91.0	2.7094532825026513E-5	0.0
92.0	1.5052518236125844E-5	0.0
93.0	9.031510941675507E-6	0.0
94.0	5.017506078708614E-6	0.0
95.0	2.007002431483446E-6	0.0
96.0	2.007002431483446E-6	0.0
97.0	0.0	0.0
98.0	1.003501215741723E-6	0.0
99.0	0.0	0.0
100.0	2.007002431483446E-6	0.0
