#Mapping quality	mapping quality
0.0	1.4061535E7
1.0	35770.0
2.0	36858.0
3.0	43210.0
4.0	39190.0
5.0	39685.0
6.0	44266.0
7.0	40554.0
8.0	43789.0
9.0	46898.0
10.0	41979.0
11.0	41070.0
12.0	45664.0
13.0	58508.0
14.0	35028.0
15.0	41818.0
16.0	45610.0
17.0	37969.0
18.0	52117.0
19.0	37409.0
20.0	55612.0
21.0	44654.0
22.0	46761.0
23.0	39194.0
24.0	47197.0
25.0	60658.0
26.0	34416.0
27.0	126233.0
28.0	28122.0
29.0	25613.0
30.0	29224.0
31.0	27077.0
32.0	28525.0
33.0	28516.0
34.0	27736.0
35.0	27434.0
36.0	26642.0
37.0	30935.0
38.0	23090.0
39.0	30393.0
40.0	81230.0
41.0	27411.0
42.0	29962.0
43.0	29939.0
44.0	32371.0
45.0	35620.0
46.0	38282.0
47.0	32574.0
48.0	67385.0
49.0	31259.0
50.0	40055.0
51.0	40874.0
52.0	46072.0
53.0	47815.0
54.0	54359.0
55.0	62132.0
56.0	75014.0
57.0	105259.0
58.0	146499.0
59.0	315841.0
60.0	7.2755422E7
