#Coverage	Number of genomic locations
0.0	3.210306728E9
1.0	1.0888688E7
2.0	9440408.0
3.0	7859167.0
4.0	6624548.0
5.0	5472304.0
6.0	4604156.0
7.0	3879251.0
8.0	3298071.0
9.0	2842187.0
10.0	2475033.0
11.0	2173582.0
12.0	1947200.0
13.0	1766380.0
14.0	1613317.0
15.0	1484789.0
16.0	1383165.0
17.0	1291462.0
18.0	1218804.0
19.0	1151766.0
20.0	1092653.0
21.0	1029077.0
22.0	963484.0
23.0	904342.0
24.0	853070.0
25.0	795825.0
26.0	742282.0
27.0	696916.0
28.0	652184.0
29.0	616477.0
30.0	577794.0
31.0	550240.0
32.0	520758.0
33.0	498722.0
34.0	477658.0
35.0	456718.0
36.0	439634.0
37.0	420961.0
38.0	405566.0
39.0	389323.0
40.0	372045.0
41.0	354752.0
42.0	331775.0
43.0	312112.0
44.0	290163.0
45.0	268047.0
46.0	245674.0
47.0	225438.0
48.0	205374.0
49.0	186052.0
50.0	164549.0
51.0	147677.0
52.0	131978.0
53.0	116255.0
54.0	102591.0
55.0	89426.0
56.0	78055.0
57.0	68791.0
58.0	59677.0
59.0	52135.0
60.0	43996.0
61.0	37783.0
62.0	31723.0
63.0	27106.0
64.0	22769.0
65.0	18703.0
66.0	15798.0
67.0	13114.0
68.0	10832.0
69.0	8842.0
70.0	7112.0
71.0	6074.0
72.0	5252.0
73.0	4279.0
74.0	3796.0
75.0	3160.0
76.0	2662.0
77.0	2313.0
78.0	1939.0
79.0	1718.0
80.0	1439.0
81.0	1264.0
82.0	1245.0
83.0	1043.0
84.0	941.0
85.0	924.0
86.0	821.0
87.0	786.0
88.0	713.0
89.0	625.0
90.0	538.0
91.0	393.0
92.0	431.0
93.0	428.0
94.0	423.0
95.0	455.0
96.0	454.0
97.0	459.0
98.0	443.0
99.0	408.0
100.0	402.0
101.0	433.0
102.0	402.0
103.0	355.0
104.0	409.0
105.0	427.0
106.0	440.0
107.0	407.0
108.0	341.0
109.0	359.0
110.0	371.0
111.0	336.0
112.0	308.0
113.0	294.0
114.0	343.0
115.0	259.0
116.0	267.0
117.0	243.0
118.0	270.0
119.0	242.0
120.0	253.0
121.0	230.0
122.0	254.0
123.0	268.0
124.0	265.0
125.0	246.0
126.0	225.0
127.0	225.0
128.0	218.0
129.0	198.0
130.0	223.0
131.0	199.0
132.0	198.0
133.0	187.0
134.0	184.0
135.0	189.0
136.0	170.0
137.0	135.0
138.0	118.0
139.0	121.0
140.0	120.0
141.0	148.0
142.0	154.0
143.0	159.0
144.0	154.0
145.0	143.0
146.0	158.0
147.0	119.0
148.0	124.0
149.0	110.0
150.0	104.0
151.0	104.0
152.0	115.0
153.0	93.0
154.0	101.0
155.0	90.0
156.0	79.0
157.0	116.0
158.0	89.0
159.0	82.0
160.0	86.0
161.0	120.0
162.0	137.0
163.0	120.0
164.0	121.0
165.0	90.0
166.0	105.0
167.0	110.0
168.0	102.0
169.0	104.0
170.0	121.0
171.0	149.0
172.0	94.0
173.0	112.0
174.0	120.0
175.0	120.0
176.0	129.0
177.0	112.0
178.0	95.0
179.0	101.0
180.0	129.0
181.0	114.0
182.0	145.0
183.0	114.0
184.0	99.0
185.0	96.0
186.0	82.0
187.0	93.0
188.0	82.0
189.0	75.0
190.0	64.0
191.0	66.0
192.0	76.0
193.0	69.0
194.0	63.0
195.0	46.0
196.0	41.0
197.0	60.0
198.0	54.0
199.0	51.0
200.0	65.0
201.0	47.0
202.0	51.0
203.0	54.0
204.0	41.0
205.0	56.0
206.0	62.0
207.0	62.0
208.0	72.0
209.0	57.0
210.0	48.0
211.0	50.0
212.0	47.0
213.0	57.0
214.0	44.0
215.0	42.0
216.0	46.0
217.0	37.0
218.0	31.0
219.0	23.0
220.0	33.0
221.0	24.0
222.0	27.0
223.0	41.0
224.0	35.0
225.0	36.0
226.0	22.0
227.0	28.0
228.0	29.0
229.0	30.0
230.0	24.0
231.0	24.0
232.0	37.0
233.0	39.0
234.0	40.0
235.0	50.0
236.0	30.0
237.0	45.0
238.0	46.0
239.0	40.0
240.0	46.0
241.0	35.0
242.0	39.0
243.0	37.0
244.0	36.0
245.0	29.0
246.0	30.0
247.0	36.0
248.0	25.0
249.0	18.0
250.0	23.0
251.0	21.0
252.0	29.0
253.0	20.0
254.0	26.0
255.0	26.0
256.0	22.0
257.0	23.0
258.0	17.0
259.0	23.0
260.0	27.0
261.0	24.0
262.0	34.0
263.0	33.0
264.0	44.0
265.0	41.0
266.0	46.0
267.0	41.0
268.0	32.0
269.0	42.0
270.0	22.0
271.0	36.0
272.0	48.0
273.0	38.0
274.0	35.0
275.0	21.0
276.0	29.0
277.0	21.0
278.0	23.0
279.0	15.0
280.0	12.0
281.0	12.0
282.0	29.0
283.0	28.0
284.0	13.0
285.0	24.0
286.0	18.0
287.0	14.0
288.0	8.0
289.0	10.0
290.0	8.0
291.0	11.0
292.0	7.0
293.0	10.0
294.0	11.0
295.0	11.0
296.0	6.0
297.0	7.0
298.0	4.0
299.0	7.0
300.0	6.0
301.0	9.0
302.0	8.0
303.0	9.0
304.0	8.0
305.0	9.0
306.0	7.0
307.0	10.0
308.0	11.0
309.0	5.0
310.0	6.0
311.0	9.0
312.0	3.0
313.0	7.0
314.0	7.0
315.0	5.0
316.0	2.0
317.0	12.0
318.0	7.0
319.0	3.0
320.0	8.0
321.0	7.0
322.0	6.0
323.0	6.0
324.0	7.0
325.0	5.0
326.0	2.0
327.0	8.0
328.0	5.0
329.0	6.0
330.0	6.0
331.0	11.0
332.0	5.0
333.0	3.0
334.0	3.0
335.0	5.0
336.0	7.0
337.0	5.0
338.0	8.0
339.0	6.0
340.0	5.0
341.0	2.0
342.0	4.0
343.0	5.0
344.0	3.0
345.0	5.0
346.0	6.0
347.0	1.0
348.0	4.0
350.0	2.0
351.0	4.0
352.0	4.0
353.0	3.0
354.0	2.0
355.0	7.0
356.0	9.0
357.0	4.0
358.0	6.0
359.0	3.0
360.0	1.0
361.0	3.0
362.0	2.0
363.0	1.0
364.0	3.0
365.0	4.0
366.0	3.0
367.0	2.0
368.0	3.0
369.0	1.0
370.0	5.0
371.0	3.0
372.0	5.0
373.0	5.0
374.0	2.0
375.0	5.0
376.0	3.0
377.0	8.0
378.0	2.0
379.0	4.0
380.0	2.0
381.0	2.0
382.0	4.0
383.0	6.0
384.0	2.0
385.0	3.0
386.0	3.0
387.0	2.0
388.0	5.0
389.0	6.0
390.0	2.0
391.0	5.0
392.0	4.0
393.0	2.0
394.0	2.0
395.0	5.0
396.0	8.0
397.0	9.0
398.0	4.0
399.0	8.0
400.0	1.0
401.0	9.0
402.0	6.0
403.0	5.0
404.0	5.0
405.0	5.0
406.0	6.0
407.0	8.0
408.0	9.0
409.0	6.0
410.0	7.0
411.0	5.0
412.0	3.0
413.0	5.0
414.0	2.0
415.0	5.0
416.0	6.0
417.0	4.0
418.0	5.0
419.0	1.0
420.0	4.0
421.0	5.0
422.0	2.0
423.0	4.0
424.0	3.0
425.0	2.0
426.0	1.0
427.0	3.0
428.0	5.0
429.0	1.0
430.0	2.0
431.0	1.0
432.0	2.0
433.0	3.0
434.0	3.0
435.0	3.0
436.0	1.0
437.0	5.0
438.0	4.0
439.0	2.0
440.0	2.0
441.0	4.0
442.0	1.0
