#Coverage (X)	Coverage
1.0	2.6858956023908718
2.0	2.355826543399388
3.0	2.069659230583028
4.0	1.8314241139053422
5.0	1.6306140324149112
6.0	1.4647319507724461
7.0	1.3251660601555102
8.0	1.207574232089371
9.0	1.1075997272218387
10.0	1.0214444449171367
11.0	0.9464187105694464
12.0	0.880530867573043
13.0	0.8215053475408638
14.0	0.7679610284804426
15.0	0.7190565117889065
16.0	0.6740480674261988
17.0	0.6321201537987804
18.0	0.592972035397068
19.0	0.5560264006819295
20.0	0.5211128904593636
21.0	0.48799127401538556
22.0	0.45679683837541063
23.0	0.42759072490854066
24.0	0.40017738429794747
25.0	0.37431825304597055
26.0	0.35019439084403814
27.0	0.3276935788778701
28.0	0.3065679475514713
29.0	0.2867982784077441
30.0	0.2681109964064632
31.0	0.25059631310661246
32.0	0.23391687486579826
33.0	0.2181311251940059
34.0	0.2030133533156686
35.0	0.18853409497161522
36.0	0.17468959134689044
37.0	0.1613629554215521
38.0	0.14860235459048
39.0	0.1363084227615019
40.0	0.12450686537884792
41.0	0.11322905642219894
42.0	0.10247545058692253
43.0	0.09241834710054775
44.0	0.08295728860204576
45.0	0.07416157066393225
46.0	0.06603625556118686
47.0	0.05858913374093788
48.0	0.05175542627122809
49.0	0.04552991931196004
50.0	0.03989012059943775
51.0	0.034902142838660666
