#Insert size (bp)	insert size
2.0	4.0
3.0	1.0
5.0	1.0
6.0	2.0
7.0	1.0
8.0	2.0
9.0	4.0
10.0	2.0
11.0	2.0
12.0	5.0
13.0	3.0
14.0	3.0
15.0	3.0
17.0	4.0
18.0	3.0
19.0	9.0
20.0	7.0
21.0	5.0
22.0	5.0
23.0	3.0
24.0	4.0
25.0	6.0
26.0	8.0
27.0	3.0
28.0	6.0
29.0	11.0
30.0	9.0
31.0	15.0
32.0	9.0
33.0	5.0
34.0	10.0
35.0	10.0
36.0	13.0
37.0	13.0
38.0	17.0
39.0	14.0
40.0	15.0
41.0	22.0
42.0	17.0
43.0	22.0
44.0	21.0
45.0	17.0
46.0	22.0
47.0	26.0
48.0	29.0
49.0	29.0
50.0	33.0
51.0	35.0
52.0	30.0
53.0	38.0
54.0	41.0
55.0	37.0
56.0	41.0
57.0	26.0
58.0	35.0
59.0	45.0
60.0	28.0
61.0	33.0
62.0	36.0
63.0	46.0
64.0	39.0
65.0	41.0
66.0	38.0
67.0	53.0
68.0	39.0
69.0	37.0
70.0	49.0
71.0	44.0
72.0	39.0
73.0	46.0
74.0	58.0
75.0	55.0
76.0	43.0
77.0	51.0
78.0	43.0
79.0	43.0
80.0	46.0
81.0	46.0
82.0	64.0
83.0	58.0
84.0	57.0
85.0	52.0
86.0	56.0
87.0	65.0
88.0	53.0
89.0	49.0
90.0	63.0
91.0	57.0
92.0	56.0
93.0	69.0
94.0	52.0
95.0	55.0
96.0	73.0
97.0	47.0
98.0	68.0
99.0	67.0
100.0	65.0
101.0	81.0
102.0	69.0
103.0	75.0
104.0	60.0
105.0	88.0
106.0	77.0
107.0	67.0
108.0	69.0
109.0	74.0
110.0	83.0
111.0	80.0
112.0	68.0
113.0	67.0
114.0	71.0
115.0	104.0
116.0	72.0
117.0	80.0
118.0	94.0
119.0	101.0
120.0	95.0
121.0	82.0
122.0	110.0
123.0	100.0
124.0	93.0
125.0	109.0
126.0	113.0
127.0	100.0
128.0	108.0
129.0	123.0
130.0	112.0
131.0	114.0
132.0	115.0
133.0	118.0
134.0	125.0
135.0	134.0
136.0	141.0
137.0	131.0
138.0	131.0
139.0	158.0
140.0	168.0
141.0	146.0
142.0	144.0
143.0	174.0
144.0	178.0
145.0	191.0
146.0	200.0
147.0	219.0
148.0	215.0
149.0	209.0
150.0	208.0
151.0	217.0
152.0	239.0
153.0	223.0
154.0	245.0
155.0	278.0
156.0	252.0
157.0	246.0
158.0	244.0
159.0	228.0
160.0	282.0
161.0	306.0
162.0	315.0
163.0	299.0
164.0	293.0
165.0	299.0
166.0	325.0
167.0	339.0
168.0	376.0
169.0	320.0
170.0	389.0
171.0	410.0
172.0	390.0
173.0	400.0
174.0	373.0
175.0	418.0
176.0	413.0
177.0	451.0
178.0	459.0
179.0	476.0
180.0	476.0
181.0	477.0
182.0	473.0
183.0	522.0
184.0	514.0
185.0	544.0
186.0	574.0
187.0	546.0
188.0	682.0
189.0	672.0
190.0	664.0
191.0	683.0
192.0	653.0
193.0	693.0
194.0	728.0
195.0	738.0
196.0	770.0
197.0	713.0
198.0	763.0
199.0	760.0
200.0	853.0
201.0	871.0
202.0	844.0
203.0	903.0
204.0	927.0
205.0	940.0
206.0	1011.0
207.0	1036.0
208.0	1035.0
209.0	1027.0
210.0	1095.0
211.0	1160.0
212.0	1052.0
213.0	1144.0
214.0	1155.0
215.0	1248.0
216.0	1225.0
217.0	1274.0
218.0	1310.0
219.0	1356.0
220.0	1416.0
221.0	1454.0
222.0	1473.0
223.0	1585.0
224.0	1551.0
225.0	1569.0
226.0	1640.0
227.0	1576.0
228.0	1628.0
229.0	1843.0
230.0	1779.0
231.0	1855.0
232.0	1793.0
233.0	1872.0
234.0	1950.0
235.0	1919.0
236.0	2039.0
237.0	2084.0
238.0	2123.0
239.0	2081.0
240.0	2242.0
241.0	2308.0
242.0	2325.0
243.0	2456.0
244.0	2472.0
245.0	2556.0
246.0	2539.0
247.0	2601.0
248.0	2802.0
249.0	2689.0
250.0	2872.0
251.0	2987.0
252.0	2920.0
253.0	2929.0
254.0	3244.0
255.0	3220.0
256.0	3193.0
257.0	3254.0
258.0	3405.0
259.0	3380.0
260.0	3506.0
261.0	3581.0
262.0	3661.0
263.0	3780.0
264.0	3811.0
265.0	3775.0
266.0	4013.0
