#GC Content (%)	Sample	HUMAN (hg38)
1.0	0.0	0.0
2.0	0.0	1.0E-6
3.0	0.0	4.0E-6
4.0	0.0	8.0E-6
5.0	0.0	9.0E-6
6.0	0.0	1.1000000000000001E-5
7.0	0.0	9.999999999999999E-6
8.0	0.0	8.999999999999999E-6
9.0	0.0	1.5E-5
10.0	9.953289213720012E-7	1.4E-5
11.0	0.0	1.9E-5
12.0	0.0	1.8E-5
13.0	0.0	2.2E-5
14.0	0.0	2.7E-5
15.0	1.9906578427440024E-6	2.4E-5
16.0	3.981315685488005E-6	2.9E-5
17.0	2.9859867641160034E-6	3.1E-5
18.0	8.957960292348011E-6	2.9E-5
19.0	1.7915920584696022E-5	5.2E-5
20.0	3.8817827933508045E-5	5.2000000000000004E-5
21.0	1.0351420782268812E-4	7.9E-5
22.0	1.751778901614722E-4	8.9E-5
23.0	3.4637446463745637E-4	1.49E-4
24.0	6.688610351619847E-4	3.14E-4
25.0	0.0013307547678743654	7.250000000000001E-4
26.0	0.00173087699426591	0.0016470000000000002
27.0	0.0030248045920495117	0.0033309999999999993
28.0	0.0042381105472019814	0.0060810000000000005
29.0	0.005997852080187679	0.010195
30.0	0.007941729463627199	0.015575000000000002
31.0	0.009700475667691522	0.021823000000000002
32.0	0.011585628644770092	0.028458
33.0	0.013539459317423334	0.034777999999999996
34.0	0.0149199805313663	0.04072200000000001
35.0	0.016688680024644346	0.046733
36.0	0.017912934597931907	0.052521
37.0	0.01899883845114876	0.058068999999999996
38.0	0.019922503690181975	0.062401
39.0	0.020427135453317584	0.066379
40.0	0.021211454643358718	0.062808
41.0	0.02128610431246162	0.055982000000000004
42.0	0.021185576091403046	0.051072
43.0	0.020712794853751347	0.047385000000000004
44.0	0.020742654721392504	0.043885999999999994
45.0	0.020435098084688554	0.040056
46.0	0.020336560521472726	0.036389
47.0	0.02030271933814608	0.031823000000000004
48.0	0.020385331638619955	0.027807000000000002
49.0	0.020724738800807812	0.024214
50.0	0.021146758263469536	0.020522000000000002
51.0	0.024272091076577622	0.017317
52.0	0.020036966516139756	0.014202
53.0	0.022836826771959196	0.011892
54.0	0.023813244443825127	0.009919
55.0	0.024994699873493696	0.008364
56.0	0.02661410002856594	0.007255999999999999
57.0	0.02783238262832527	0.006077
58.0	0.02955927830690569	0.0052759999999999994
59.0	0.030687981303741542	0.004577
60.0	0.03174999726284546	0.003935
61.0	0.032591050201404806	0.0033960000000000006
62.0	0.03296031723123382	0.002891
63.0	0.03253929309749346	0.002476
64.0	0.03142950135016369	0.0020139999999999997
65.0	0.029747395473045	0.0016830000000000003
66.0	0.027618386910230292	0.0013750000000000001
67.0	0.02505939625338288	0.001061
68.0	0.022015680411827294	8.219999999999999E-4
69.0	0.018799772666874357	6.300000000000001E-4
70.0	0.015897393532153605	5.039999999999999E-4
71.0	0.013112463210154744	4.1E-4
72.0	0.010863019847854021	3.3099999999999997E-4
73.0	0.009116217590846158	2.5900000000000006E-4
74.0	0.007293770335814025	2.26E-4
75.0	0.006218815100732263	1.9000000000000004E-4
76.0	0.005175710391134405	1.53E-4
77.0	0.004425232384419917	1.18E-4
78.0	0.003708595561032077	8.5E-5
79.0	0.0029999213690152116	4.800000000000001E-5
80.0	0.0023449949387524347	3.9000000000000006E-5
81.0	0.0018085126501329264	3.3E-5
82.0	0.0013108481894469255	2.1000000000000002E-5
83.0	9.375998439324251E-4	6.999999999999999E-6
84.0	6.967302449604008E-4	4.9999999999999996E-6
85.0	4.3894005432505256E-4	0.0
86.0	2.7172479553455635E-4	0.0
87.0	1.5228532496991618E-4	0.0
88.0	1.0450953674406011E-4	0.0
89.0	6.171039312506407E-5	0.0
90.0	3.782249901213605E-5	0.0
91.0	2.4883223034300032E-5	0.0
92.0	1.2939275977836017E-5	0.0
93.0	6.967302449604008E-6	0.0
94.0	8.957960292348011E-6	0.0
95.0	3.981315685488005E-6	0.0
96.0	2.9859867641160034E-6	0.0
97.0	9.953289213720012E-7	0.0
98.0	9.953289213720012E-7	0.0
99.0	0.0	0.0
100.0	2.9859867641160034E-6	0.0
