#Mapping quality	mapping quality
0.0	1.3965738E7
1.0	32828.0
2.0	34032.0
3.0	42627.0
4.0	38190.0
5.0	39162.0
6.0	46469.0
7.0	38629.0
8.0	43647.0
9.0	49771.0
10.0	43827.0
11.0	37938.0
12.0	42435.0
13.0	58625.0
14.0	35612.0
15.0	40988.0
16.0	46250.0
17.0	35571.0
18.0	50294.0
19.0	37935.0
20.0	52749.0
21.0	43528.0
22.0	46023.0
23.0	37088.0
24.0	42929.0
25.0	58089.0
26.0	32649.0
27.0	123749.0
28.0	26991.0
29.0	23049.0
30.0	29649.0
31.0	26910.0
32.0	27233.0
33.0	29051.0
34.0	27053.0
35.0	27899.0
36.0	26133.0
37.0	30741.0
38.0	24917.0
39.0	29122.0
40.0	75603.0
41.0	28139.0
42.0	30789.0
43.0	31451.0
44.0	29763.0
45.0	36540.0
46.0	35669.0
47.0	31364.0
48.0	71066.0
49.0	31864.0
50.0	42232.0
51.0	39171.0
52.0	45373.0
53.0	49583.0
54.0	56987.0
55.0	59847.0
56.0	75921.0
57.0	104954.0
58.0	149922.0
59.0	344090.0
60.0	7.1708886E7
